JFK	John F. Kennedy	3.0000	4	0	0	0	NULL
JFK	JFK (disambiguation)	2.7500	4	6	13	NULL	NULL
JFK	Jfk	2.5000	4	NULL	NULL	NULL	2
JFK	JFK (film)	2.2500	4	1	5	2	1
JFK	John F. Kennedy Jr.	2.2500	4	19	NULL	NULL	NULL
JFK	John F. Kennedy International Airport	2.2500	4	2	6	1	0
JFK	Assassination of John F. Kennedy	2.0000	4	3	10	3	8
JFK	John F. Kennedy assassination conspiracy theories	1.7500	4	16	NULL	4	3
JFK	John F. Kennedy Memorial Airport	1.7500	4	NULL	NULL	NULL	20
JFK	Kennedy family	1.7500	4	NULL	NULL	12	24
JFK	Timeline of the presidency of John F. Kennedy	1.7500	4	5	NULL	17	NULL
JFK	John F. Kennedy, Jr.	1.7500	4	NULL	NULL	6	5
JFK	Commons:John F. Kennedy	1.7500	4	4	NULL	NULL	NULL
JFK	Memorials to John F. Kennedy	1.5000	4	12	NULL	NULL	NULL
JFK	John F. Kennedy Jr. plane crash	1.5000	4	NULL	NULL	8	10
JFK	Reactions to the assassination of John F. Kennedy	1.5000	4	14	9	NULL	NULL
JFK	President John F. Kennedy Assassination Records Collection Act of 1992	1.5000	4	18	NULL	NULL	NULL
JFK	q:John F. Kennedy	1.5000	4	9	NULL	NULL	NULL
JFK	CIA Kennedy assassination conspiracy theory	1.5000	4	20	NULL	NULL	NULL
JFK	State funeral of John F. Kennedy	1.5000	4	13	NULL	24	19
JFK	JFK: Reloaded	1.2500	4	11	16	14	6
JFK	John F. Kennedy Presidential Library and Museum	1.2500	4	24	14	20	NULL
JFK	Inaugural address of John F. Kennedy	1.2500	4	NULL	NULL	7	11
JFK	Single-bullet theory	1.2500	4	NULL	NULL	11	9
JFK	John F. Kennedy autopsy	1.2500	4	21	NULL	22	16
JFK	John F. Kennedy Memorial Bridge	1.2500	4	NULL	17	NULL	NULL
JFK	Timeline of the John F. Kennedy assassination	1.2500	4	17	NULL	NULL	22
JFK	JFK Airport (disambiguation)	1.2500	4	8	NULL	NULL	NULL
JFK	John Fitzgerald Kennedy Memorial	1.2500	4	NULL	23	NULL	NULL
JFK	John F. Kennedy Library	1.0000	4	NULL	NULL	NULL	13
JFK	JFK (Clone High)	1.0000	4	NULL	NULL	18	15
JFK	JFK (soundtrack)	1.0000	4	22	NULL	NULL	NULL
JFK	Inauguration of John F. Kennedy	1.0000	4	7	NULL	NULL	NULL
JFK	John F. Kennedy Eternal Flame	1.0000	4	NULL	NULL	19	NULL
JFK	John F. Kennedy Memorial Highway	1.0000	4	NULL	19	NULL	NULL
JFK	USS John F. Kennedy (CV-67)	1.0000	4	NULL	NULL	15	14
JFK	Assassination of John F. Kennedy in popular culture	1.0000	4	10	NULL	NULL	NULL
JFK	JFK/UMass (MBTA station)	1.0000	4	NULL	18	NULL	NULL
JFK	Ramada Plaza JFK Hotel	0.7500	4	NULL	11	NULL	NULL
JFK	Ich bin ein Berliner	0.7500	4	NULL	NULL	9	18
JFK	JFK Expressway	0.7500	4	15	21	NULL	NULL
JFK	JFK Olimps	0.7500	4	NULL	3	NULL	NULL
JFK	Jim Garrison	0.7500	4	NULL	NULL	13	7
JFK	Kennedy half dollar	0.7500	4	NULL	NULL	16	NULL
JFK	2007 John F. Kennedy International Airport attack plot	0.6667	4	NULL	12	NULL	NULL
JFK	AirTrain JFK	0.5000	4	NULL	1	5	4
JFK	John F. Kennedy High School (Cleveland, Ohio)	0.5000	4	23	NULL	NULL	NULL
JFK	JFK Express	0.5000	4	NULL	7	NULL	NULL
JFK	Skaboy JFK	0.5000	4	NULL	24	NULL	NULL
JFK	Zapruder film	0.5000	4	NULL	NULL	10	12
JFK	AirTrain LaGuardia	0.3333	4	NULL	NULL	NULL	23
JFK	Profiles in Courage	0.2500	4	NULL	NULL	21	NULL
